01-02-2022  00-02-00
1023.7500           0   659
1025.0000           0   660
1026.2500           0   661
1027.5000           0   662
1028.7500           0   663
1030.0000           0   664
1031.2500           0   665
1032.5000           0   666
1033.7500           0   667
1035.0000           0   668
1036.2500           0   669
1037.5000           0   670
1038.7500           0   671
1040.0000           0   672
1041.2500           0   673
1042.5000           0   674
1043.7500           0   675
1045.0000           0   676
1046.2500           0   677
1047.5000           0   678
1048.7500           0   679
1050.0000           0   680
1051.2500           0   681
1052.5000           0   682
1053.7500           0   683
1055.0000           0   684
1056.2500           0   685
1057.5000           0   686
1058.7500           0   687
1060.0000           0   688
1061.2500           0   689
1062.5000           0   690
1063.7500           0   691
1065.0000           0   692
1066.2500           0   693
1067.5000           0   694
1068.7500           0   695
1070.0000           0   696
1071.2500           0   697
1072.5000           0   698
1073.7500           0   699
1075.0000           0   700
1076.2500           0   701
1077.5000           0   702
1078.7500           0   703
1080.0000           0   704
1081.2500           0   705
1082.5000           0   706
1083.7500           0   707
1085.0000           0   708
1086.2500           0   709
1087.5000           0   710
1088.7500           0   711
1090.0000           0   712
1091.2500           0   713
1092.5000           0   714
1093.7500           0   715
1095.0000           0   716
1096.2500           0   717
1097.5000           0   718
1098.7500           0   719
1100.0000           0   720
1101.2500           0   721
1102.5000           0   722
1103.7500           0   723
1105.0000           0   724
1106.2500           0   725
1107.5000           0   726
1108.7500           0   727
1110.0000           0   728
1111.2500           0   729
1112.5000           0   730
1113.7500           0   731
1115.0000           0   732
1116.2500           0   733
1117.5000           0   734
1118.7500           0   735
1120.0000           0   736
1121.2500           0   737
1122.5000           0   738
1123.7500           0   739
1125.0000           0   740
1126.2500           0   741
1127.5000           0   742
1128.7500           0   743
1130.0000           0   744
1131.2500           0   745
1132.5000           0   746
1133.7500           0   747
1135.0000           0   748
1136.2500           0   749
1137.5000           0   750
1138.7500           0   751
1140.0000           0   752
1141.2500           0   753
1142.5000           0   754
1143.7500           0   755
1145.0000           0   756
1146.2500           0   757
1147.5000           0   758
1148.7500           0   759
1150.0000           0   760
1151.2500           0   761
1152.5000           0   762
1153.7500           0   763
1155.0000           0   764
1156.2500           0   765
1157.5000           0   766
1158.7500           0   767
1160.0000           0   768
1161.2500           0   769
1162.5000           0   770
1163.7500           0   771
1165.0000           0   772
1166.2500           0   773
1167.5000           0   774
1168.7500           0   775
1170.0000           0   776
1171.2500           0   777
1172.5000           0   778
1173.7500           0   779
1175.0000           0   780
1176.2500           0   781
1177.5000           0   782
1178.7500           0   783
1180.0000           0   784
1181.2500           0   785
1182.5000           0   786
1183.7500           0   787
1185.0000           0   788
1186.2500           0   789
1187.5000           0   790
1188.7500           0   791
1190.0000           0   792
1191.2500           0   793
1192.5000           0   794
1193.7500           0   795
1195.0000           0   796
1196.2500           0   797
1197.5000           0   798
1198.7500           0   799
1200.0000           0   800
1201.2500           0   801
1202.5000           0   802
1203.7500           0   803
1205.0000           0   804
1206.2500           0   805
1207.5000           0   806
1208.7500           0   807
1210.0000           0   808
1211.2500           0   809
1212.5000           0   810
1213.7500           0   811
1215.0000           0   812
1216.2500           0   813
1217.5000           0   814
1218.7500           0   815
1220.0000           0   816
1221.2500           0   817
1222.5000           0   818
1223.7500           0   819
1225.0000           0   820
1226.2500           0   821
1227.5000           0   822
1228.7500           0   823
1230.0000           0   824
1231.2500           0   825
1232.5000           0   826
1233.7500           0   827
1235.0000           0   828
1236.2500           0   829
1237.5000           0   830
1238.7500           0   831
1240.0000           0   832
1241.2500           0   833
1242.5000           0   834
1243.7500           0   835
1245.0000           0   836
1246.2500           0   837
1247.5000           0   838
1248.7500           0   839
