  f  zad   ion[i,j]
  34   761   78
  35   252  111
  35   253  122
  35   254  124
  35   255  133
  35   256  132
  35   257  114
  35   259   91
  35   261   95
  35   262   97
  35   502  106
  35   503  107
  35   509  110
  35   510  113
  35   721   82
  35   722  100
  35   723  106
  35   724  104
  35   725   93
  35   750   81
  35   751   85
  35   752   87
  35   753   88
  35   754   90
  35   755   88
  35   756   82
  35   761   85
  35   762   84
  35   763   81
  35   764   81
  35   766   82
  36   252   91
  36   253  112
  36   254  125
  36   255  132
  36   256  132
  36   257  118
  36   258   98
  36   259  115
  36   260  115
  36   261  121
  36   262  115
  36   263  100
  36   264  100
  36   265  109
  36   266  109
  36   267   93
  36   268   89
  36   297   73
  36   503   95
  36   508   99
  36   509  111
  36   510  113
  36   511  105
  36   512   85
  36   513   84
  36   514   95
  36   515   91
  36   516   86
  36   517   88
  36   518  100
  36   519  107
  36   520  101
  36   521   92
  36   522   91
  36   722   88
  36   723   84
  36   724   89
  36   725   87
  36   726   85
  36   727   84
  36   728   87
  36   729   82
  36   732   76
  36   738   82
  36   739   80
  36   752   75
  36   754   75
  36   761   77
  36   762   77
  36   765   76
  36   766   80
  36   767   75
  36   768   77
  37   253   92
  37   254   96
  37   255  113
  37   256  119
  37   257  109
  37   258  121
  37   259  132
  37   260  136
  37   261  134
  37   262  120
  37   264  118
  37   265  131
  37   266  132
  37   267  125
  37   268  110
  37   503   90
  37   508   92
  37   509   95
  37   511   96
  37   513   91
  37   514  101
  37   516   90
  37   517  103
  37   518  107
  37   519  115
  37   520  119
  37   521  117
  37   522  106
  37   776   91
  38   258  119
  38   259  131
  38   260  131
  38   261  131
  38   262  124
  38   264  123
  38   265  137
  38   266  137
  38   267  127
  38   268  124
  38   269  113
  38   520  116
  38   521  121
  38   522  111
  39   265  127
  39   266  130
  39   268  123
  39   269  133
  39   270  130
  39   271  130
  39   272  123
  39   273  113
  39   274  110
  40   265  110
  40   266  117
  40   267  116
  40   268  125
  40   269  135
  40   270  142
  40   271  148
  40   272  148
  40   273  145
  40   274  137
  40   275  124
  40   276  109
  40   527   95
  40   528   99
  40   538  105
  40   539  104
  40   540  108
  40   541  109
  41   265   85
  41   266   90
  41   267  104
  41   268  111
  41   269  115
  41   270  127
  41   271  144
  41   272  151
  41   273  151
  41   274  147
  41   275  136
  41   276  114
  41   277  103
  41   278  107
  41   280   98
  41   282   86
  41   285   91
  41   519   86
  41   524   89
  41   531   91
  41   532   99
  41   533   89
  41   538   98
  41   539  108
  41   540  114
  41   541  114
  41   542  103
  41   543   88
  41   545   90
  41   546  105
  41   547  117
  41   548  125
  41   549  128
  41   550  124
  41   551  115
  41   552  102
  41   556   95
  41   557   89
  41   558   94
  41   559   99
  41   560   94
  41   561   90
  41   564   90
  41   757   88
  42   270   91
  42   271  123
  42   272  131
  42   273  134
  42   274  135
  42   275  132
  42   276  111
  42   277  105
  42   278  126
  42   279  126
  42   280  119
  42   281   94
  42   282   97
  42   283  118
  42   284  122
  42   285  124
  42   286  116
  42   287  103
  42   288  105
  42   289   94
  42   290  101
  42   291   88
  42   521   89
  42   524   86
  42   525   95
  42   526   88
  42   531   85
  42   532   86
  42   539   85
  42   540   97
  42   541  104
  42   542   92
  42   546   90
  42   547  112
  42   548  124
  42   549  127
  42   550  128
  42   551  124
  42   552  114
  42   553   96
  42   554   96
  42   555  105
  42   556  105
  42   558   94
  42   559  111
  42   560  113
  42   561  113
  42   562  110
  42   563  108
  42   564  103
  42   566   85
  42   567   93
  42   568   88
  42   569   81
  42   771   80
  43   271   94
  43   273   91
  43   274   93
  43   275  111
  43   276  117
  43   277  124
  43   278  134
  43   279  133
  43   280  122
  43   281  118
  43   282  126
  43   283  136
  43   284  138
  43   285  134
  43   286  130
  43   287  132
  43   288  136
  43   289  138
  43   290  139
  43   291  132
  43   292  120
  43   293   96
  43   295   86
  43   296   86
  43   547  103
  43   548  100
  43   549  102
  43   550  111
  43   551  109
  43   552  110
  43   553  108
  43   554  104
  43   555  102
  43   556  106
  43   557  103
  43   558  105
  43   559  104
  43   560  107
  43   561  113
  43   562  116
  43   563  114
  43   564  107
  43   565  100
  43   566   96
  43   567   87
  43   569   96
  43   570   96
  43   577   85
  44   276   94
  44   277  115
  44   278  126
  44   279  125
  44   281  114
  44   282  130
  44   283  135
  44   284  133
  44   285  120
  44   286  112
  44   287  130
  44   288  143
  44   289  151
  44   290  154
  44   291  152
  44   292  142
  44   293  120
  44   294  107
  44   295  123
  44   296  125
  44   297  119
  44   298  107
  44   299   98
  44   300  111
  44   301  122
  44   302  122
  44   303  108
  44   304   95
  44   305   98
  44   306  102
  44   307   96
  44   546  102
  44   547  100
  44   556   93
  44   557  100
  44   558  101
  44   562  102
  44   563  100
  44   565   93
  44   569   98
  44   570   98
  44   571   97
  44   572   96
  44   575   91
  44   576   94
  44   577   97
  44   578   92
  44   582  101
  44   583   99
  45   278   96
  45   279  112
  45   280  109
  45   281  110
  45   282  111
  45   283  111
  45   284  110
  45   285   97
  45   287  107
  45   288  127
  45   289  140
  45   290  148
  45   291  150
  45   292  149
  45   293  142
  45   294  137
  45   295  140
  45   296  142
  45   297  137
  45   298  122
  45   300  129
  45   301  145
  45   302  147
  45   303  138
  45   304  119
  45   305  107
  45   306  127
  45   307  130
  45   308  121
  45   309  116
  45   310  107
  45   311   96
  45   312   97
  45   313  101
  45   314   92
  45   315   88
  45   316  101
  45   317   92
  45   318   97
  45   319   91
  45   321   89
  45   545  100
  45   546  100
  45   549   88
  45   568   89
  45   569   92
  45   572  102
  45   573   96
  45   577   89
  45   578   91
  45   579   90
  45   581   90
  45   582  107
  45   583  100
  45   589   95
  45   590   95
  45   670   89
  46   277   90
  46   279  103
  46   280  104
  46   281   89
  46   289  111
  46   290  122
  46   291  118
  46   292  138
  46   293  138
  46   294  131
  46   295  135
  46   296  137
  46   297  134
  46   298  131
  46   299  128
  46   300  139
  46   301  149
  46   302  154
  46   303  150
  46   304  133
  46   305  118
  46   306  141
  46   307  147
  46   308  142
  46   309  125
  46   311  114
  46   312  116
  46   313  100
  46   314   99
  46   315  117
  46   316  126
  46   317  127
  46   318  124
  46   319  121
  46   320  122
  46   321  123
  46   322  119
  46   323  115
  46   324  111
  46   325  111
  46   326  110
  46   327  104
  46   328   96
  46   329   96
  46   330   89
  46   545   92
  46   546   91
  46   560   89
  46   561   91
  46   571   89
  46   572   99
  46   579   90
  46   580   88
  46   581   96
  46   582  104
  46   583   90
  46   585   89
  46   588   88
  46   589   91
  46   595   89
  46   598   91
  46   610   91
  47   276  101
  47   277  101
  47   279   97
  47   286   98
  47   287   97
  47   289  100
  47   292  116
  47   293  112
  47   295  110
  47   296  109
  47   297  104
  47   298  118
  47   299  126
  47   300  129
  47   301  129
  47   302  141
  47   303  144
  47   304  140
  47   305  138
  47   306  143
  47   307  146
  47   308  143
  47   309  131
  47   310  114
  47   311  124
  47   312  121
  47   313   97
  47   314   97
  47   315  123
  47   316  135
  47   317  136
  47   318  124
  47   319  116
  47   320  132
  47   321  136
  47   322  132
  47   323  120
  47   324  119
  47   325  131
  47   326  132
  47   327  119
  47   328  103
  47   329  120
  47   330  125
  47   331  120
  47   332  107
  47   338   98
  47   339  104
  47   340  105
  47   341  105
  47   342  104
  47   343  101
  48   276   94
  48   277   98
  48   300   98
  48   302  113
  48   303  118
  48   304  120
  48   305  121
  48   306  121
  48   307  123
  48   308  125
  48   309  122
  48   310  123
  48   311  121
  48   312  114
  48   313  101
  48   315  111
  48   316  126
  48   317  127
  48   318  115
  48   319   99
  48   320  126
  48   321  129
  48   322  125
  48   323  107
  48   324  105
  48   325  135
  48   326  140
  48   327  127
  48   328  107
  48   329  132
  48   330  139
  48   331  135
  48   332  119
  48   336   97
  48   337  108
  48   338  116
  48   339  118
  48   340  114
  48   341  115
  48   342  121
  48   343  123
  48   344  118
  48   345  102
  48   347  104
  48   348  104
  48   354   97
  48   355  109
  48   356  114
  48   357  114
  48   358  114
  48   359  116
  48   360  115
  48   361  113
  48   362  114
  48   363  116
  48   364  111
  48   365  105
  48   366  104
  48   367  105
  48   368   97
  48   613   96
  48   614   95
  49   276   94
  49   277   98
  49   310  105
  49   311   99
  49   312   88
  49   316  104
  49   317   94
  49   318  107
