  f  zad   ion[i,j]
 308   833   68
 309   758   56
 310   160   55
 310   459   57
 310   570   52
 310   614   52
 311   246   62
 311   247   58
 311   571   60
 311   581   63
 311   582   60
 311   695   60
 311   696   59
 312   123   60
 312   242   60
 312   695   60
 312   696   63
 313    74   58
 313   113   61
 313   141   58
 313   222   59
 313   223   59
 313   233   58
 314    91   55
 314   140   55
 315   686   55
 316   309   55
 316   355   58
 316   376   58
 316   469   58
 317   751   57
 318   525   51
 318   550   52
 319   357   56
 319   368   50
 319   369   50
 319   452   50
 320   269   55
 320   345   54
 320   357   61
 320   368   58
 320   369   60
 320   370   59
 320   376   54
 320   377   61
 320   378   59
 320   392   56
 321   268   57
 321   269   64
 321   270   55
 321   357   58
 321   358   54
 321   376   53
 321   377   56
 321   378   56
 321   392   54
 322    81   52
 322    82   58
 322   627   50
 322   628   50
 323    82   63
 323   464   57
 323   724   59
 326   177   51
 326   211   55
 327   213   52
 327   214   54
 327   713   55
 327   714   54
 328   107   56
 328   279   63
 328   492   61
 328   493   59
 329   106   55
 329   107   57
 329   279   64
 329   280   58
 329   492   61
 329   493   55
 329   521   57
 329   719   57
 330   119   56
 330   280   55
 330   319   53
 330   489   53
 330   661   55
 330   662   53
 330   717   54
 330   718   55
 330   719   54
 331   118   54
 331   119   55
 331   327   52
 331   661   54
 332    85   55
 332    94   52
 332   102   58
 332   103   59
 332   680   55
 333    80   54
 333    91   52
 333    93   57
 333    94   57
 333   103   54
 333   679   54
 333   718   52
 334   446   50
 334   447   51
 335   687   54
 336   164   54
 337   469   59
 339   279   60
 339   358   62
 341    82   63
 342   157   68
 342   638   65
 342   676   66
 342   677   67
 343   157   59
 343   269   58
 343   638   58
 343   676   59
 344   298   51
 344   299   52
 344   352   48
 344   625   51
 345   297   53
 345   298   57
 345   462   51
 346   297   54
 346   461   51
 346   540   57
 346   541   53
 347   180   60
 347   452   60
 347   453   64
 347   483   57
 347   534   58
 347   677   62
 348   452   64
 348   453   65
 349   678   49
 349   679   49
 349   684   49
 350   332   47
 350   576   49
 351   111   55
 351   235   55
 351   569   56
 353   200   54
 353   201   51
 353   329   48
 354   193   52
 354   201   50
 354   252   53
 354   770   51
 354   771   51
 355   693   51
 355   770   51
 356   611   49
 356   612   54
 356   689   47
 357   315   46
 357   424   49
 357   448   49
 358   182   50
 358   183   49
 358   225   44
 358   315   51
 358   423   51
 358   435   45
 358   436   46
 358   448   44
 358   479   45
 359   121   44
 359   152   42
 359   226   40
 359   423   41
 359   533   42
 359   613   41
 360   189   44
 360   219   46
 360   613   46
 361   220   45
 361   358   44
 361   470   44
 361   613   44
 363   362   45
 363   383   47
 364   354   55
 364   357   52
 364   369   50
 365    73   43
 365   354   47
 365   368   43
 365   432   41
 365   433   42
 366   173   44
 366   427   45
 366   609   45
 367   172   46
 367   173   45
 367   294   45
 367   428   47
 368   237   42
 368   308   43
 369   309   43
 371   244   58
 372   243   56
 372   264   52
 373   243   51
 373   264   50
 373   265   49
 373   364   53
 373   365   50
 373   609   49
 374   365   42
 374   608   47
 375   282   44
 375   487   41
 375   521   42
 376   281   47
 376   282   52
 376   421   50
 376   487   46
 377   281   45
 377   282   45
 377   421   47
 377   430   45
 378   107   46
 380   210   46
 380   461   46
 380   693   49
 380   706   47
 381   210   55
 382   776   58
 383   484   53
 383   485   51
 384   579   46
 384   596   48
 384   600   44
 385   578   52
 385   579   53
 385   587   55
 385   596   50
 386   587   53
 386   588   48
 386   590   50
 387   740   46
 388   273   50
 388   731   53
 390   140   43
 390   361   43
 390   364   44
 390   540   43
 390   650   42
 391   411   50
 391   412   50
 391   417   47
 392   297   51
 392   411   50
 392   412   50
 393   166   49
 393   397   47
 393   710   51
 393   714   47
 395   396   49
 396   555   59
 396   556   61
 396   557   56
 396   561   61
 397   409   62
 397   555   66
 397   556   64
 397   560   65
 397   561   64
 399   141   61
 399   670   70
 400   563   81
 400   564   87
 400   670   80
 400   671   81
 400   672   83
 400   673   80
 401   485   86
 401   486   85
 401   563   85
 401   564   91
 401   565   88
 401   672   87
 401   673   89
 402   485   83
 402   770   81
 403   763   74
 404   829   82
 404   832   89
 404   838   91
 405   683   78
 405   829   80
 406   683   90
 406   772   89
 406   829   90
 407   764   93
 407   771   93
 407   772   95
 407   829   94
 407   830   95
 407   831   95
 408   763   85
 408   772   82
 408   829   82
 408   830   87
 408   831   90
 408   832   89
 409   418   88
 409   433   89
 409   434   91
 410   433  100
 410   434   99
 410   442  100
 410   513  100
 410   514  101
 414   848   97
 414   849  102
 416   843   97
 417   771  104
 417   837  111
 417   843  101
 418   561  103
 418   721  101
 418   753  101
 418   754  105
 418   755  108
 418   768  105
 419   325  100
 419   326  104
 419   721  100
 419   755  104
 420   195  114
 420   698  108
 421   195  117
 421   694  117
 421   760  116
 424   285   71
 425   532   67
 425   720   74
 425   721   65
 428   662   70
 428   670   72
 428   678   78
 428   694   73
 428   699   70
 428   707   68
 428   713   75
 428   715   69
 428   716   74
 428   732   70
 429   670   74
 429   677   75
 429   678   77
 429   679   74
 429   689   75
 429   694   74
 429   696   74
 429   697   78
 429   698   75
 429   699   75
 429   708   73
 429   710   74
 429   711   73
 429   713   73
 429   714   73
 429   715   74
 429   716   75
 429   717   74
 429   718   74
 430   656   60
 430   671   60
 430   684   60
 430   697   66
 430   698   65
 430   707   61
 430   717   61
 430   719   62
 431   235   52
 431   258   53
 431   293   55
 431   303   49
 433   239   49
 433   251   48
 433   292   47
 433   539   47
 434   298   47
 435   171   54
 435   292   55
 435   584   55
 435   669   58
 436   171   51
 436   572   54
 437   311   45
 437   339   45
 437   469   48
 437   561   51
 438   469   49
 438   538   52
 438   539   49
 439   342   48
 439   538   49
 440   185   48
 440   264   46
 440   292   43
 440   435   46
 440   436   44
 441   185   60
 442   184   53
 442   515   47
 443    90   48
 443   273   41
 443   288   43
 443   289   42
 443   512   44
 443   515   42
 443   576   42
 443   577   42
 444   577   52
 444   578   50
 445   231   47
 445   409   49
 445   453   50
 445   455   48
 445   578   50
 446   222   41
 446   230   39
 446   430   42
 446   455   41
 446   556   41
 446   739   39
 447   693   49
 447   697   47
 447   700   46
 447   701   47
 448   602   49
 448   698   47
 449   228   41
 449   229   43
 450   404   48
 450   690   45
 451   404   46
 452   129   40
 452   412   41
 452   440   41
 452   584   42
 452   658   41
 453   272   45
 453   412   48
 453   658   45
 454   684   48
 454   705   51
 455   227   38
 455   318   41
 455   319   42
 455   420   39
 455   537   40
 455   680   45
 455   684   40
 456   318   52
 456   319   43
 456   323   41
 456   350   43
 456   355   42
 457   317   49
 457   318   50
 457   323   46
 458   582   45
 458   583   41
 458   603   43
 459   160   42
 459   582   43
 460   163   48
 460   164   51
 460   297   47
 460   298   50
 460   299   48
 460   300   48
 460   356   47
 460   357   46
 460   358   47
 461   195   44
 461   298   53
 461   299   53
 461   300   42
 461   351   39
 461   355   39
 461   356   41
 461   358   39
 461   362   43
 465   526   41
 465   626   38
 465   692   37
 467   143   43
 467   144   43
 468   161   43
 468   525   42
 468   533   41
 469   161   47
 469   530   43
 469   608   46
 470   161   41
 470   166   41
 470   606   43
 470   683   45
 471   321   42
 471   655   38
 471   656   40
 471   682   38
 472   121   43
 472   614   47
 472   615   41
 472   655   43
 472   656   46
 473   209   47
 473   210   42
 473   765   47
 474   205   45
 474   765   46
 475   765   51
 476   251   50
 476   252   47
 476   765   51
 477   223   39
 477   250   39
 477   251   49
 477   441   41
 478   441   39
 478   442   39
 478   449   43
 478   450   44
 479   450   40
 479   451   40
 479   466   40
 479   694   38
 479   700   37
 479   735   37
 480   321   38
 480   322   38
 480   693   39
 480   694   39
 481   502   41
 481   623   40
 482   443   44
 482   641   43
 483   317   41
 483   536   37
 483   595   37
 483   596   36
 484   214   41
 484   317   42
 484   421   44
 484   620   41
 485   318   46
 485   321   45
 486   321   40
 486   638   39
 487   154   38
 487   180   41
 487   652   38
 488   136   47
 488   137   46
 488   138   44
 488   349   39
 488   607   40
 489   502   37
 489   534   37
 489   572   38
 492   179   38
 492   417   40
 492   768   39
 492   770   38
 492   771   38
 493   236   42
 493   417   39
 493   437   38
 493   492   40
 493   768   41
 494   293   45
 494   493   46
 494   767   45
 495   291   41
 496   213   39
 496   258   40
 496   259   42
 497   395   44
 498   404   45
 498   462   43
 499   145   49
 499   243   43
 499   244   45
 499   245   44
 499   403   43
 499   462   48
 499   734   45
 500   734   51
 501   263   47
 501   418   43
 501   604   44
 502   256   41
 502   262   40
 502   263   46
 502   773   41
 502   774   39
 503   111   50
 503   586   51
 504   188   45
 504   288   47
 504   410   52
 504   467   45
 504   587   48
 507   413   69
 507   617   71
 507   618   72
 507   832   69
 507   833   70
 508   463   65
 508   617   65
 508   618   68
 508   832   68
 509   639   61
 509   647   62
 509   656   61
 511   439   72
 514   745   81
 514   831   83
 514   832   84
 514   834   81
 514   835   88
 515   834   93
 515   846   86
 517   777   94
 518   767   88
 518   768   88
 519   769   69
 520   767   63
 523   655   95
 523   685   93
 523   772   93
 523   837   91
 524   270  100
 524   836  106
 525   788   96
 525   789   99
 525   836  104
 526   727   82
 526   743   84
 526   829   83
 526   830   84
 526   831   84
 527   727   74
 527   767   83
 527   837   81
 527   839   80
 528   765   90
 528   766   96
 528   767   97
 528   837   94
 528   838   94
 529   680  101
 529   765  101
 529   766  105
 529   767  101
 529   777   98
 529   836  103
 529   837  112
 529   838  114
 529   839  110
 529   850  101
 529   861  103
 530   679   94
 530   765   97
 530   766   95
 530   837  110
 530   838  110
 530   839  105
 530   861   97
 530   862   94
 531   837   87
 531   838   84
 533   193   48
 533   195   54
 533   463   48
 533   471   51
 534   193   59
 534   194   60
 534   195   60
 535   193   56
 535   194   56
 536   579   52
 539   338   45
 539   556   44
 539   664   46
 539   686   48
 539   700   47
 540   555   50
 540   556   53
 540   700   52
 540   701   60
 540   702   52
 541   535   51
 541   555   49
 541   556   53
 541   701   54
 541   702   48
 542    98   44
 542   167   42
 542   168   40
 542   510   42
 542   535   42
 543    81   53
 543    82   54
 543    83   51
 543   102   52
 543   103   52
 544    82   60
 544    83   61
 545    83   50
 545   113   48
 545   123   53
 546   123   56
 546   276   52
 546   425   55
 546   730   50
 547   122   54
 547   276   52
 547   425   55
 547   693   54
 547   730   54
 547   731   51
 548   121   45
 548   122   42
 548   563   44
 548   564   48
 548   612   44
 548   731   47
 549   524   43
 550   675   48
 551   520   41
 551   681   42
 552    95   45
 552   594   49
 552   595   50
 553   594   52
 554    96   43
 554   109   44
 554   593   42
 556   408   45
 556   409   46
 558   663   39
 558   731   39
 560    91   44
 560   675   42
 560   762   43
 561    91   38
 561   202   36
 561   464   37
 561   762   37
 563   194   41
 565   176   45
 566   175   44
 566   176   48
 566   181   44
 566   182   44
 566   193   45
 567   193   47
 567   670   44
 567   671   47
 568   130   48
 568   131   50
 568   193   50
 568   749   50
 569   174   44
 569   347   46
 570   277   44
 570   292   43
 570   447   46
 572   277   43
 572   641   43
 573   620   43
 573   641   43
 573   642   45
 573   692   42
 574   606   51
 574   617   46
 574   742   45
 575   331   49
 575   332   49
 575   606   51
 575   617   53
 576   680   45
 577   116   46
 577   158   45
 577   469   45
 577   681   49
 577   682   44
 578   177   46
 578   680   47
 578   681   49
 580   746   53
 581   746   50
 582   537   45
 582   568   44
 582   569   44
 583   531   48
 583   743   48
 583   773   48
 584   129   55
 584   130   55
 585   279   51
 585   466   53
 585   637   51
 585   642   56
 586   279   49
 586   637   47
 586   642   50
 586   650   49
 586   681   46
 587   579   50
 587   580   52
 587   581   49
 587   681   49
 588   580   46
 589   105   45
 589   106   44
 589   299   40
 589   338   43
 591   108   46
 591   519   46
 592   109   37
 592   152   38
 592   164   39
 592   178   39
 592   208   41
 592   686   40
 593   270   46
 593   271   49
 594   316   44
 594   397   45
 595   417   40
 595   724   38
 596   348   44
 596   623   44
 597   348   42
 597   623   46
 597   764   43
 598   114   40
 598   124   37
 598   380   41
 598   568   38
 598   701   39
 598   763   40
 599   307   46
 599   338   44
 599   339   48
 599   340   43
 599   629   42
 600   307   45
 600   338   45
 600   339   45
 600   422   42
 600   453   41
 601   421   40
 601   422   40
 601   740   39
 602   578   46
 602   667   49
 602   673   48
 603   577   50
 603   578   51
 603   667   55
 604   666   51
 604   682   47
 605   517   45
 606   201   48
 606   516   49
 606   754   50
 607   200   43
 607   201   43
 607   630   46
 608   104   44
 608   105   47
 608   128   48
 608   129   44
 608   483   42
 608   484   41
 609   104   47
 609   128   50
 609   129   47
 609   180   50
 609   328   44
 609   483   45
 609   708   45
 610   128   42
 610   340   48
 610   341   44
 610   550   42
 610   708   43
 610   756   42
 611   340   42
 611   371   41
 611   547   39
 612   643   43
 612   748   40
 614   697   55
 614   698   57
 614   699   52
 615   697   56
 615   698   57
 616   119   46
 616   178   43
 617   118   48
 617   119   49
 617   178   42
 617   309   42
 617   373   44
 617   478   42
 619   734   54
 620   379   54
 620   380   55
 620   733   51
 621   315   43
 622    96   41
 622   122   41
 622   151   44
 622   593   41
 622   594   41
 623   460   36
 626   375   39
 628   170   38
 628   338   37
 628   543   38
 628   565   44
 628   566   42
 629   170   36
 629   565   38
 630   391   36
 630   760   36
 631   200   38
 632   286   38
 633   515   40
 633   554   42
 634   558   46
 635   113   39
 635   288   43
 636    90   38
 636   181   35
 636   196   35
 636   288   39
 636   309   38
 636   401   36
 636   426   38
 636   599   37
 637   426   42
 637   553   37
 637   554   41
 637   615   36
 637   616   37
 637   617   40
 638   229   36
 639   100   36
 639   229   38
 639   324   35
 639   646   39
 639   647   35
 640   228   38
 640   229   38
 640   646   37
 640   777   41
 640   778   39
 641   279   40
 641   777   36
 642   109   36
 642   209   40
 642   423   36
 642   431   38
 642   490   38
 643   263   37
 643   264   36
 643   342   36
 643   431   39
 644   431   36
 645   252   38
 645   465   40
 646   152   38
 646   578   38
 646   637   40
 647   357   37
 647   449   40
 647   450   38
 649    86   39
 649   683   37
 650    87   35
 650   250   35
 650   467   36
 650   682   44
 651   682   41
 651   683   34
 652   306   35
 652   432   37
 652   565   35
 652   566   36
 652   683   35
 653   403   37
 655   378   39
 655   449   36
 656   362   36
 657   222   35
 657   435   36
 658   435   40
 659   403   42
 660   281   39
 660   403   35
