01-02-2022  00-02-00
  13.3580           0   593
  13.3780           0   594
  13.3980           0   595
  13.4181           0   596
  13.4381           0   597
  13.4581           0   598
  13.4781           0   599
  13.4982           0   600
  13.5182           0   601
  13.5382           0   602
  13.5583           0   603
  13.5783           0   604
  13.5983           0   605
  13.6184           0   606
  13.6384           0   607
  13.6584           0   608
  13.6784           0   609
  13.6985           0   610
  13.7185           0   611
  13.7385           0   612
  13.7586           0   613
  13.7786           0   614
  13.7986           0   615
  13.8187           0   616
  13.8387           0   617
  13.8587           0   618
  13.8788           0   619
  13.8988           0   620
  13.9188           0   621
  13.9388           0   622
  13.9589           0   623
  13.9789           0   624
  13.9989           0   625
  14.0190           0   626
  14.0390           0   627
  14.0590           0   628
  14.0791           0   629
  14.0991           0   630
  14.1191           0   631
  14.1391           0   632
  14.1592           0   633
  14.1792           0   634
  14.1992           0   635
  14.2193           0   636
  14.2393           0   637
  14.2593           0   638
  14.2794           0   639
  14.2994           0   640
  14.3194           0   641
  14.3394           0   642
  14.3595           0   643
  14.3795           0   644
  14.3995           0   645
  14.4196           0   646
  14.4396           0   647
  14.4596           0   648
  14.4797           0   649
  14.4997           0   650
  14.5197           0   651
  14.5398           0   652
  14.5598           0   653
  14.5798           0   654
  14.5998           0   655
  14.6199           0   656
  14.6399           0   657
  14.6599           0   658
  14.6800           0   659
  14.7000           0   660
